number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_class_weight,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,user_attrs_constraint,system_attrs_constraints,system_attrs_nsga2:generation,state
0,0.9881249999999999,2025-03-29 06:20:10.513341,2025-03-29 06:20:16.571788,0 days 00:00:06.058447,True,balanced,6,sqrt,4,19,145,-0.008124999999999938,"(np.float64(-0.008124999999999938),)",0,COMPLETE
1,0.9862500000000001,2025-03-29 06:20:16.579438,2025-03-29 06:20:40.236530,0 days 00:00:23.657092,True,balanced,15,sqrt,7,14,408,-0.006250000000000089,"(np.float64(-0.006250000000000089),)",0,COMPLETE
2,0.9881249999999999,2025-03-29 06:20:40.238765,2025-03-29 06:20:46.155162,0 days 00:00:05.916397,True,balanced,15,log2,4,17,122,-0.008124999999999938,"(np.float64(-0.008124999999999938),)",0,COMPLETE
3,0.9856250000000001,2025-03-29 06:20:46.159781,2025-03-29 06:20:59.350083,0 days 00:00:13.190302,False,,11,log2,6,8,431,-0.005625000000000102,"(np.float64(-0.005625000000000102),)",0,COMPLETE
4,0.9899999999999999,2025-03-29 06:20:59.351489,2025-03-29 06:21:08.853674,0 days 00:00:09.502185,True,,5,log2,4,16,411,-0.009999999999999898,"(np.float64(-0.009999999999999898),)",0,COMPLETE
5,0.9893749999999999,2025-03-29 06:21:08.855016,2025-03-29 06:21:20.076907,0 days 00:00:11.221891,False,,11,sqrt,8,6,362,-0.009374999999999911,"(np.float64(-0.009374999999999911),)",0,COMPLETE
6,0.9837499999999999,2025-03-29 06:21:20.078135,2025-03-29 06:21:25.732214,0 days 00:00:05.654079,True,,6,sqrt,4,9,274,-0.00374999999999992,"(np.float64(-0.00374999999999992),)",0,COMPLETE
7,0.9862500000000001,2025-03-29 06:21:25.733489,2025-03-29 06:21:38.034800,0 days 00:00:12.301311,False,,10,sqrt,8,7,417,-0.006250000000000089,"(np.float64(-0.006250000000000089),)",0,COMPLETE
8,0.99,2025-03-29 06:21:38.036175,2025-03-29 06:21:42.565536,0 days 00:00:04.529361,True,,5,sqrt,2,19,221,-0.010000000000000009,"(np.float64(-0.010000000000000009),)",0,COMPLETE
9,0.9881249999999999,2025-03-29 06:21:42.567464,2025-03-29 06:21:53.569271,0 days 00:00:11.001807,True,,6,sqrt,2,17,470,-0.008124999999999938,"(np.float64(-0.008124999999999938),)",0,COMPLETE
10,0.9868750000000001,2025-03-29 06:21:53.570558,2025-03-29 06:22:01.814052,0 days 00:00:08.243494,False,balanced,15,log2,2,9,215,-0.0068750000000000755,"(np.float64(-0.0068750000000000755),)",0,COMPLETE
11,0.983125,2025-03-29 06:22:01.816071,2025-03-29 06:22:12.855073,0 days 00:00:11.039002,False,balanced,5,log2,4,9,454,-0.0031250000000000444,"(np.float64(-0.0031250000000000444),)",0,COMPLETE
12,0.991875,2025-03-29 06:22:12.858545,2025-03-29 06:22:20.831206,0 days 00:00:07.972661,True,,10,log2,4,8,301,-0.011874999999999969,"(np.float64(-0.011874999999999969),)",0,COMPLETE
13,0.99125,2025-03-29 06:22:20.832526,2025-03-29 06:22:24.331356,0 days 00:00:03.498830,True,,9,log2,8,8,151,-0.011249999999999982,"(np.float64(-0.011249999999999982),)",0,COMPLETE
14,0.9918750000000001,2025-03-29 06:22:24.332751,2025-03-29 06:22:34.905377,0 days 00:00:10.572626,False,balanced,13,log2,3,10,291,-0.01187500000000008,"(np.float64(-0.01187500000000008),)",0,COMPLETE
15,0.9881249999999999,2025-03-29 06:22:34.906927,2025-03-29 06:22:45.997818,0 days 00:00:11.090891,True,balanced,13,log2,5,5,372,-0.008124999999999938,"(np.float64(-0.008124999999999938),)",0,COMPLETE
16,0.9893749999999999,2025-03-29 06:22:46.001849,2025-03-29 06:22:59.465408,0 days 00:00:13.463559,False,,9,log2,3,8,444,-0.009374999999999911,"(np.float64(-0.009374999999999911),)",0,COMPLETE
17,0.9881249999999999,2025-03-29 06:22:59.466908,2025-03-29 06:23:05.109337,0 days 00:00:05.642429,True,balanced,10,log2,5,10,253,-0.008124999999999938,"(np.float64(-0.008124999999999938),)",0,COMPLETE
18,0.9868750000000001,2025-03-29 06:23:05.110587,2025-03-29 06:23:14.298180,0 days 00:00:09.187593,True,,7,log2,6,20,360,-0.0068750000000000755,"(np.float64(-0.0068750000000000755),)",0,COMPLETE
19,0.98375,2025-03-29 06:23:14.299712,2025-03-29 06:23:27.792162,0 days 00:00:13.492450,False,,14,log2,9,19,447,-0.003750000000000031,"(np.float64(-0.003750000000000031),)",0,COMPLETE
20,0.9887499999999999,2025-03-29 06:23:27.793672,2025-03-29 06:23:36.656084,0 days 00:00:08.862412,False,balanced,6,sqrt,9,7,351,-0.008749999999999925,"(np.float64(-0.008749999999999925),)",0,COMPLETE
21,0.9862499999999998,2025-03-29 06:23:36.660351,2025-03-29 06:23:41.523154,0 days 00:00:04.862803,False,balanced,13,log2,5,13,116,-0.006249999999999867,"(np.float64(-0.006249999999999867),)",0,COMPLETE
22,0.9887499999999999,2025-03-29 06:23:41.524478,2025-03-29 06:23:43.843225,0 days 00:00:02.318747,True,,8,sqrt,6,13,100,-0.008749999999999925,"(np.float64(-0.008749999999999925),)",0,COMPLETE
23,0.99,2025-03-29 06:23:43.844569,2025-03-29 06:23:54.556746,0 days 00:00:10.712177,True,balanced,6,log2,10,12,439,-0.010000000000000009,"(np.float64(-0.010000000000000009),)",0,COMPLETE
24,0.9899999999999999,2025-03-29 06:23:54.561003,2025-03-29 06:23:57.118020,0 days 00:00:02.557017,True,balanced,10,log2,3,16,105,-0.009999999999999898,"(np.float64(-0.009999999999999898),)",0,COMPLETE
25,0.991875,2025-03-29 06:23:57.119426,2025-03-29 06:24:06.685775,0 days 00:00:09.566349,False,balanced,5,sqrt,7,19,365,-0.011874999999999969,"(np.float64(-0.011874999999999969),)",0,COMPLETE
26,0.9875,2025-03-29 06:24:06.687566,2025-03-29 06:24:16.119435,0 days 00:00:09.431869,True,,8,sqrt,9,11,416,-0.007500000000000062,"(np.float64(-0.007500000000000062),)",0,COMPLETE
27,0.9893750000000001,2025-03-29 06:24:16.120808,2025-03-29 06:24:29.107506,0 days 00:00:12.986698,False,balanced,10,log2,7,15,400,-0.009375000000000133,"(np.float64(-0.009375000000000133),)",0,COMPLETE
28,0.985,2025-03-29 06:24:29.108839,2025-03-29 06:24:39.231630,0 days 00:00:10.122791,False,,10,log2,4,15,318,-0.0050000000000000044,"(np.float64(-0.0050000000000000044),)",0,COMPLETE
29,0.9862500000000001,2025-03-29 06:24:39.233174,2025-03-29 06:24:51.007102,0 days 00:00:11.773928,True,balanced,11,sqrt,7,14,470,-0.006250000000000089,"(np.float64(-0.006250000000000089),)",0,COMPLETE
30,0.99,2025-03-29 06:24:51.008591,2025-03-29 06:24:55.987255,0 days 00:00:04.978664,True,,15,log2,5,9,216,-0.010000000000000009,"(np.float64(-0.010000000000000009),)",0,COMPLETE
31,0.984375,2025-03-29 06:24:55.988709,2025-03-29 06:25:07.933334,0 days 00:00:11.944625,True,balanced,12,log2,4,8,468,-0.004375000000000018,"(np.float64(-0.004375000000000018),)",0,COMPLETE
32,0.9818749999999999,2025-03-29 06:25:07.934742,2025-03-29 06:25:17.791563,0 days 00:00:09.856821,True,,6,log2,2,12,414,-0.00187499999999996,"(np.float64(-0.00187499999999996),)",0,COMPLETE
33,0.9868749999999998,2025-03-29 06:25:17.796209,2025-03-29 06:25:28.394371,0 days 00:00:10.598162,True,,12,sqrt,4,8,476,-0.0068749999999998535,"(np.float64(-0.0068749999999998535),)",0,COMPLETE
34,0.985,2025-03-29 06:25:28.396531,2025-03-29 06:25:37.057434,0 days 00:00:08.660903,False,,12,sqrt,7,19,270,-0.0050000000000000044,"(np.float64(-0.0050000000000000044),)",0,COMPLETE
35,0.9887499999999999,2025-03-29 06:25:37.058744,2025-03-29 06:25:50.696925,0 days 00:00:13.638181,False,balanced,9,sqrt,5,9,411,-0.008749999999999925,"(np.float64(-0.008749999999999925),)",0,COMPLETE
36,0.9862499999999998,2025-03-29 06:25:50.698241,2025-03-29 06:25:59.405997,0 days 00:00:08.707756,True,balanced,11,sqrt,7,20,348,-0.006249999999999867,"(np.float64(-0.006249999999999867),)",0,COMPLETE
37,0.984375,2025-03-29 06:25:59.409258,2025-03-29 06:26:06.982465,0 days 00:00:07.573207,True,balanced,11,log2,10,9,332,-0.004375000000000018,"(np.float64(-0.004375000000000018),)",0,COMPLETE
38,0.9893750000000001,2025-03-29 06:26:06.983972,2025-03-29 06:26:10.063168,0 days 00:00:03.079196,True,balanced,14,log2,3,5,134,-0.009375000000000133,"(np.float64(-0.009375000000000133),)",0,COMPLETE
39,0.99,2025-03-29 06:26:10.064493,2025-03-29 06:26:21.264454,0 days 00:00:11.199961,True,,6,log2,4,9,460,-0.010000000000000009,"(np.float64(-0.010000000000000009),)",0,COMPLETE
40,0.9850000000000001,2025-03-29 06:26:21.265921,2025-03-29 06:26:33.499405,0 days 00:00:12.233484,False,balanced,9,log2,2,12,373,-0.0050000000000001155,"(np.float64(-0.0050000000000001155),)",0,COMPLETE
41,0.99,2025-03-29 06:26:33.500962,2025-03-29 06:26:41.926602,0 days 00:00:08.425640,False,,6,log2,9,7,312,-0.010000000000000009,"(np.float64(-0.010000000000000009),)",0,COMPLETE
42,0.9862499999999998,2025-03-29 06:26:41.928680,2025-03-29 06:26:48.776228,0 days 00:00:06.847548,False,balanced,14,sqrt,9,19,231,-0.006249999999999867,"(np.float64(-0.006249999999999867),)",0,COMPLETE
43,0.9875,2025-03-29 06:26:48.777556,2025-03-29 06:26:52.564174,0 days 00:00:03.786618,True,balanced,7,log2,8,5,177,-0.007500000000000062,"(np.float64(-0.007500000000000062),)",0,COMPLETE
44,0.99,2025-03-29 06:26:52.565486,2025-03-29 06:27:03.517513,0 days 00:00:10.952027,False,balanced,13,log2,3,12,309,-0.010000000000000009,"(np.float64(-0.010000000000000009),)",0,COMPLETE
45,0.98375,2025-03-29 06:27:03.519338,2025-03-29 06:27:12.304394,0 days 00:00:08.785056,False,balanced,9,log2,3,16,258,-0.003750000000000031,"(np.float64(-0.003750000000000031),)",0,COMPLETE
46,0.984375,2025-03-29 06:27:12.305675,2025-03-29 06:27:17.346665,0 days 00:00:05.040990,True,balanced,5,sqrt,9,19,256,-0.004375000000000018,"(np.float64(-0.004375000000000018),)",0,COMPLETE
47,0.9881249999999999,2025-03-29 06:27:17.348150,2025-03-29 06:27:26.164783,0 days 00:00:08.816633,True,balanced,8,log2,2,11,335,-0.008124999999999938,"(np.float64(-0.008124999999999938),)",0,COMPLETE
48,0.9862500000000001,2025-03-29 06:27:26.166297,2025-03-29 06:27:33.055797,0 days 00:00:06.889500,True,,7,log2,2,16,319,-0.006250000000000089,"(np.float64(-0.006250000000000089),)",0,COMPLETE
49,0.9824999999999999,2025-03-29 06:27:33.057410,2025-03-29 06:27:41.876486,0 days 00:00:08.819076,True,balanced,13,log2,2,11,327,-0.0024999999999999467,"(np.float64(-0.0024999999999999467),)",0,COMPLETE
